Item,Quantity,Unit Price,Total Price (IDR),Link
USB type C mini modul charge charger type-c 5v 4.2v 3.7v 18650 lithium,1,Rp12.000,Rp12.000,https://www.tokopedia.com/awallaptop/usb-type-c-mini-modul-charge-charger-type-c-5v-4-2v-3-7v-18650-lithium?extParam=ivf%3Dfalse%26keyword%3Dumlife+ultra-mini+usb+type+c+3.7v+lithium+battery+charger+board+4.2v%26search_id%3D2026020312275511B9842E0A271F15E001%26src%3Dsearch&t_id=1770114008960&t_st=13&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
[SSM] Baterai Cas CR123 Batu Batrai LC 16340 Battery 3.7V 1300 mAh Batere Rechargeable,2,Rp9.000,Rp18.000,https://www.tokopedia.com/sehat-sejahtera-makmur/ssm-baterai-cas-cr123-batu-batrai-lc-16340-battery-3-7v-1300-mah-batere-rechargeable-1731313326437205378?extParam=ivf%3Dfalse%26keyword%3D3.7v+1300mah+16340+cr123a+li-ion+rechargeable+batteries%26search_id%3D20260203123505CD00692C3BFE5904C3NG%26src%3Dsearch&t_id=1770114008960&t_st=18&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
BUZZER LOUD SPEAKER ,1,Rp5.900,Rp5.900,https://www.tokopedia.com/a1accessories/buzzer-loud-speaker-bawah-samsung-a10-a20-a30-a50-m10?t_id=1770162900004&t_st=2&t_pp=cart&t_efo=cart&t_ef=&t_sm=&t_spt=cart
"OLED 1.3 inch 128X64 SPI LCD LED Display 4PIN - 1.3"" 4PIN",1,Rp48.500,Rp48.500,https://www.tokopedia.com/alfaelectro/oled-1-3-inch-128x64-spi-lcd-led-display-4pin-1731738037238990352?extParam=src%3Dshop%26whid%3D477575&aff_unique_id=&channel=others&chain_key=
Switch 3 pin,10*,Rp500,Rp5.000,https://www.tokopedia.com/arduinonano/ss12d00-g4-toggle-switch-saklar-on-off-2-position-3p-slide-geser-3pin?extParam=ivf%3Dfalse%26keyword%3Dswitch+3+pin%26search_id%3D2026020400110311B9842E0A271F0BDT2G%26src%3Dsearch&t_id=1770162900004&t_st=6&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
TTP223 ,2*,Rp2.500,Rp5.000,https://www.tokopedia.com/khurs-iot/ttp223-modul-tombol-sentuh-touch-sensor-capacitive-switch-board?extParam=ivf%3Dfalse%26keyword%3Dttp223%26search_id%3D20260204001332371BCE7DC838171A1L3R%26src%3Dsearch&t_id=1770162900004&t_st=5&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
Kabel Jumper Cable Dupont Pelangi 20cm Header Cable Pin rainbow 20 cm - Male Male,1,Rp5.000,Rp5.000,https://www.tokopedia.com/arduinonano/kabel-jumper-cable-dupont-pelangi-20cm-header-cable-pin-rainbow-20-cm-male-male?extParam=ivf%3Dfalse%26keyword%3Djumper+wire%26search_id%3D202602040510304734BA6F3DE83D1C4313%26src%3Dsearch&t_id=1770114008960&t_st=21&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
30pcs Heat insert,1,Rp53.000,Rp53.000,https://www.tokopedia.com/indocart/3d-printer-tools-compatible-brass-heat-insert-nuts-double-twill-knurled-injection-copper-thread-inserts-x-30pcs-1731656093817144863?extParam=ivf%3Dfalse%26keyword%3Dheat+insert%26search_id%3D2026020405080594F6D7E04A4D45022BPL%26src%3Dsearch&t_id=1770114008960&t_st=19&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
ESP32C3,1,Rp38.900,Rp38.900,https://www.tokopedia.com/alfaelectro/esp32-c3-super-mini-wifi-wireless-bluetooth-esp32-c3?extParam=ivf%3Dfalse%26keyword%3Desp32c3%26search_id%3D20260203235745577BCC914F9E55191MC2%26src%3Dsearch&t_id=1770162900004&t_st=3&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
MAX98357 I2S 3W Class D Amplifier DAC Decoder Module MAX98357A,1,Rp55.000,Rp55.000,https://www.tokopedia.com/alfaelectro/max98357-i2s-3w-class-d-amplifier-dac-decoder-module-max98357a-1733864629661500944?extParam=ivf%3Dfalse%26keyword%3Dmax98357a+audio+amplifier%26search_id%3D202602040722525B8ADD2A5D98B10ADYUG%26src%3Dsearch&t_id=1770114008960&t_st=22&t_pp=search_result&t_efo=search_pure_goods_card&t_ef=goods_search&t_sm=&t_spt=search_result
